entry_date,entry_price,exit_date,exit_reason,realized_multiple,trade_return_pct,hold_days,coin_id,signal_date,signal_score
2023-03-24,0.6151,2023-05-08,stop_loss,0.75,-0.25,45,decentraland,2023-03-23,0.6849416368022493
2023-03-24,1.165,2023-05-10,stop_loss,0.75,-0.25,47,tezos,2023-03-23,0.2738090954220782
2023-01-20,0.24052,2023-06-10,stop_loss,0.75,-0.25,141,basic-attention-token,2023-01-19,0.23580052510642618
2023-01-27,0.316,2023-06-10,stop_loss,0.75,-0.25,134,loopring,2023-01-26,0.49486396107899777
2023-03-20,0.250317,2023-06-10,stop_loss,0.75,-0.25,82,0x,2023-03-19,0.1401192596346307
2023-03-24,0.4273,2023-07-20,trailing_stop,2.2201029721507135,1.2201029721507135,118,adventure-gold,2023-03-23,0.10756457674184321
2023-11-03,2.343,2023-12-18,trailing_stop,1.620358514724712,0.6203585147247119,45,havven,2023-11-02,0.11067144250536098
2024-01-26,0.119,2024-03-04,trailing_stop,2.0048529411764706,1.0048529411764706,38,aioz-network,2024-01-25,0.3363739660107379
2024-02-24,8.004,2024-04-12,stop_loss,0.75,-0.25,48,filecoin,2024-02-23,0.20039607782194452
2024-03-31,0.1469,2024-04-12,stop_loss,0.75,-0.25,12,chiliz,2024-03-30,0.10702114706095749
2024-05-17,0.8099,2024-06-11,stop_loss,0.75,-0.25,25,aioz-network,2024-05-16,0.18784357311930996
2024-09-15,5.238,2024-12-05,trailing_stop,1.6880154639175255,0.6880154639175255,81,render-token,2024-09-14,0.24860554882672656
2024-10-19,26.78,2024-12-09,trailing_stop,1.64704070201643,0.6470407020164299,51,elrond-erd-2,2024-10-18,0.15084184250774674
2024-08-30,0.4385,2024-12-19,trailing_stop,2.093797035347776,1.0937970353477762,111,aioz-network,2024-08-29,0.49983753745287063
2025-02-15,3.89,2025-03-04,stop_loss,0.75,-0.25,17,helium,2025-02-14,0.17732023065429028
2025-03-28,0.2798,2025-04-06,stop_loss,0.75,-0.25,9,aioz-network,2025-03-27,0.21886418382084305
2025-09-19,0.3486,2025-09-25,stop_loss,0.75,-0.25,6,aioz-network,2025-09-18,0.8981947021592339
2025-09-13,2.627,2025-10-17,stop_loss,0.75,-0.25,34,helium,2025-09-12,0.2516166396283468
2026-04-25,1.001,2026-05-27,stop_loss,0.75,-0.25,32,helium,2026-04-24,0.18204487831339924
2026-05-25,0.1048,2026-06-02,stop_loss,0.75,-0.25,8,fluent-network,2026-05-24,0.23870009291770838
2026-05-02,0.0591,2026-06-05,stop_loss,0.75,-0.25,34,mina-protocol,2026-05-01,0.13148730253887533
2026-03-13,0.0654,2026-07-18,stop_loss,0.75,-0.25,127,aioz-network,2026-03-12,0.21007310828276127
2026-07-19,0.00354,2026-07-24,data_end,0.9858757062146892,-0.01412429378531077,5,ankr,2026-07-18,0.12237141702827047
2026-05-03,41.26,2026-07-24,data_end,1.39214735821619,0.39214735821619007,82,hyperliquid,2026-05-02,0.11567831673116187
2026-06-08,0.0587,2026-07-24,data_end,1.0357751277683134,0.035775127768313375,46,fluent-network,2026-06-07,0.10032930961705182
2026-07-24,0.0492,2026-07-24,data_end,0.9898373983739838,-0.010162601626016232,0,aioz-network,2026-07-23,0.26312876639327093
