model,feature,mean_importance,dataset,horizon,threshold
logreg,ret_1d,1.2847885828535561,B_coinbase_multiyear,30,5
logreg,ret_2d,3.4072211954058447,B_coinbase_multiyear,30,5
logreg,ret_3d,1.2884030755703513,B_coinbase_multiyear,30,5
logreg,ret_7d,1.2316167583802289,B_coinbase_multiyear,30,5
logreg,ret_14d,0.6138694244904216,B_coinbase_multiyear,30,5
logreg,ret_30d,1.3679245078982436,B_coinbase_multiyear,30,5
logreg,vol_7d,0.7563835867627723,B_coinbase_multiyear,30,5
logreg,vol_30d,4.626385332039981,B_coinbase_multiyear,30,5
logreg,vol_rel_7d,1.0970528419194758,B_coinbase_multiyear,30,5
logreg,vol_rel_30d,0.7068100667243374,B_coinbase_multiyear,30,5
logreg,dist_from_high_30d,2.1517940032777965,B_coinbase_multiyear,30,5
logreg,dist_from_high_90d,0.7008821737647611,B_coinbase_multiyear,30,5
logreg,price_above_ma7,1.8555973319938641,B_coinbase_multiyear,30,5
logreg,price_above_ma30,0.45189495700369936,B_coinbase_multiyear,30,5
logreg,ma7_above_ma30,0.7604503705550433,B_coinbase_multiyear,30,5
logreg,universe_vol_chg_7d,0.13788271529290233,B_coinbase_multiyear,30,5
logreg,btc_ret_90d,0.9365582249420021,B_coinbase_multiyear,30,5
logreg,coin_age_days,0.019113941458039633,B_coinbase_multiyear,30,5
logreg,narr_ai,2.1607953620241855,B_coinbase_multiyear,30,5
logreg,narr_rwa,0.0,B_coinbase_multiyear,30,5
logreg,narr_defi,0.8949353640143901,B_coinbase_multiyear,30,5
logreg,narr_gaming,0.0,B_coinbase_multiyear,30,5
logreg,narr_memecoin,0.14514163220427392,B_coinbase_multiyear,30,5
logreg,narr_l1,1.1695027648960215,B_coinbase_multiyear,30,5
logreg,narr_l2,0.7895007807267227,B_coinbase_multiyear,30,5
logreg,narr_infra,1.6792163165637177,B_coinbase_multiyear,30,5
logreg,narr_depin,1.0931411749802304,B_coinbase_multiyear,30,5
random_forest,ret_1d,0.06115652487287435,B_coinbase_multiyear,30,5
random_forest,ret_2d,0.10136445647386387,B_coinbase_multiyear,30,5
random_forest,ret_3d,0.048203958935613335,B_coinbase_multiyear,30,5
random_forest,ret_7d,0.033678048807625455,B_coinbase_multiyear,30,5
random_forest,ret_14d,0.050434990695126775,B_coinbase_multiyear,30,5
random_forest,ret_30d,0.03139001979986871,B_coinbase_multiyear,30,5
random_forest,vol_7d,0.04900417362822643,B_coinbase_multiyear,30,5
random_forest,vol_30d,0.08907224432691492,B_coinbase_multiyear,30,5
random_forest,vol_rel_7d,0.043355349540863584,B_coinbase_multiyear,30,5
random_forest,vol_rel_30d,0.04814820013895694,B_coinbase_multiyear,30,5
random_forest,dist_from_high_30d,0.02810910601184255,B_coinbase_multiyear,30,5
random_forest,dist_from_high_90d,0.035764322835619165,B_coinbase_multiyear,30,5
random_forest,price_above_ma7,0.05947398500565182,B_coinbase_multiyear,30,5
random_forest,price_above_ma30,0.04170169796664111,B_coinbase_multiyear,30,5
random_forest,ma7_above_ma30,0.04004006740626243,B_coinbase_multiyear,30,5
random_forest,universe_vol_chg_7d,0.03450157757777112,B_coinbase_multiyear,30,5
random_forest,btc_ret_90d,0.03488977548630926,B_coinbase_multiyear,30,5
random_forest,coin_age_days,0.00037878739188800377,B_coinbase_multiyear,30,5
random_forest,narr_ai,0.07768103338114889,B_coinbase_multiyear,30,5
random_forest,narr_rwa,0.0,B_coinbase_multiyear,30,5
random_forest,narr_defi,0.005531106306588758,B_coinbase_multiyear,30,5
random_forest,narr_gaming,0.0,B_coinbase_multiyear,30,5
random_forest,narr_memecoin,3.77217402146365e-16,B_coinbase_multiyear,30,5
random_forest,narr_l1,0.022778854928358776,B_coinbase_multiyear,30,5
random_forest,narr_l2,0.00023635985194787968,B_coinbase_multiyear,30,5
random_forest,narr_infra,0.0013948891911499688,B_coinbase_multiyear,30,5
random_forest,narr_depin,0.061710469438885564,B_coinbase_multiyear,30,5
xgboost,ret_1d,0.016622478142380714,B_coinbase_multiyear,30,5
xgboost,ret_2d,0.10598158836364746,B_coinbase_multiyear,30,5
xgboost,ret_3d,0.02511093020439148,B_coinbase_multiyear,30,5
xgboost,ret_7d,0.015907781198620796,B_coinbase_multiyear,30,5
xgboost,ret_14d,0.06000535190105438,B_coinbase_multiyear,30,5
xgboost,ret_30d,0.0782105103135109,B_coinbase_multiyear,30,5
xgboost,vol_7d,0.009158437140285969,B_coinbase_multiyear,30,5
xgboost,vol_30d,0.07516086846590042,B_coinbase_multiyear,30,5
xgboost,vol_rel_7d,0.009802456013858318,B_coinbase_multiyear,30,5
xgboost,vol_rel_30d,0.03851453214883804,B_coinbase_multiyear,30,5
xgboost,dist_from_high_30d,0.033092062920331955,B_coinbase_multiyear,30,5
xgboost,dist_from_high_90d,0.016633929684758186,B_coinbase_multiyear,30,5
xgboost,price_above_ma7,0.03197242692112923,B_coinbase_multiyear,30,5
xgboost,price_above_ma30,0.10883039236068726,B_coinbase_multiyear,30,5
xgboost,ma7_above_ma30,0.05086163058876991,B_coinbase_multiyear,30,5
xgboost,universe_vol_chg_7d,0.024849966168403625,B_coinbase_multiyear,30,5
xgboost,btc_ret_90d,0.027157245203852654,B_coinbase_multiyear,30,5
xgboost,coin_age_days,0.0,B_coinbase_multiyear,30,5
xgboost,narr_ai,0.09673913568258286,B_coinbase_multiyear,30,5
xgboost,narr_rwa,0.0,B_coinbase_multiyear,30,5
xgboost,narr_defi,0.009691799059510231,B_coinbase_multiyear,30,5
xgboost,narr_gaming,0.0,B_coinbase_multiyear,30,5
xgboost,narr_memecoin,0.0,B_coinbase_multiyear,30,5
xgboost,narr_l1,0.04192296788096428,B_coinbase_multiyear,30,5
xgboost,narr_l2,0.0,B_coinbase_multiyear,30,5
xgboost,narr_infra,0.023888057097792625,B_coinbase_multiyear,30,5
xgboost,narr_depin,0.09988542646169662,B_coinbase_multiyear,30,5
lightgbm,ret_1d,209.33333333333334,B_coinbase_multiyear,30,5
lightgbm,ret_2d,303.6666666666667,B_coinbase_multiyear,30,5
lightgbm,ret_3d,159.0,B_coinbase_multiyear,30,5
lightgbm,ret_7d,115.66666666666667,B_coinbase_multiyear,30,5
lightgbm,ret_14d,219.33333333333334,B_coinbase_multiyear,30,5
lightgbm,ret_30d,155.0,B_coinbase_multiyear,30,5
lightgbm,vol_7d,119.33333333333333,B_coinbase_multiyear,30,5
lightgbm,vol_30d,345.0,B_coinbase_multiyear,30,5
lightgbm,vol_rel_7d,203.66666666666666,B_coinbase_multiyear,30,5
lightgbm,vol_rel_30d,147.33333333333334,B_coinbase_multiyear,30,5
lightgbm,dist_from_high_30d,120.66666666666667,B_coinbase_multiyear,30,5
lightgbm,dist_from_high_90d,118.33333333333333,B_coinbase_multiyear,30,5
lightgbm,price_above_ma7,287.3333333333333,B_coinbase_multiyear,30,5
lightgbm,price_above_ma30,162.0,B_coinbase_multiyear,30,5
lightgbm,ma7_above_ma30,157.33333333333334,B_coinbase_multiyear,30,5
lightgbm,universe_vol_chg_7d,109.0,B_coinbase_multiyear,30,5
lightgbm,btc_ret_90d,240.0,B_coinbase_multiyear,30,5
lightgbm,coin_age_days,29.0,B_coinbase_multiyear,30,5
lightgbm,narr_ai,78.33333333333333,B_coinbase_multiyear,30,5
lightgbm,narr_rwa,0.0,B_coinbase_multiyear,30,5
lightgbm,narr_defi,11.333333333333334,B_coinbase_multiyear,30,5
lightgbm,narr_gaming,0.0,B_coinbase_multiyear,30,5
lightgbm,narr_memecoin,0.0,B_coinbase_multiyear,30,5
lightgbm,narr_l1,16.666666666666668,B_coinbase_multiyear,30,5
lightgbm,narr_l2,10.333333333333334,B_coinbase_multiyear,30,5
lightgbm,narr_infra,7.333333333333333,B_coinbase_multiyear,30,5
lightgbm,narr_depin,163.66666666666666,B_coinbase_multiyear,30,5
catboost,ret_1d,5.130082399545236,B_coinbase_multiyear,30,5
catboost,ret_2d,9.875001924207234,B_coinbase_multiyear,30,5
catboost,ret_3d,4.0415865113384,B_coinbase_multiyear,30,5
catboost,ret_7d,2.9425547119848363,B_coinbase_multiyear,30,5
catboost,ret_14d,3.96880082106126,B_coinbase_multiyear,30,5
catboost,ret_30d,3.8638014497218705,B_coinbase_multiyear,30,5
catboost,vol_7d,5.223986680008728,B_coinbase_multiyear,30,5
catboost,vol_30d,7.741942530147386,B_coinbase_multiyear,30,5
catboost,vol_rel_7d,4.1226516232723,B_coinbase_multiyear,30,5
catboost,vol_rel_30d,4.062391511594928,B_coinbase_multiyear,30,5
catboost,dist_from_high_30d,4.090768392400161,B_coinbase_multiyear,30,5
catboost,dist_from_high_90d,4.340260225799053,B_coinbase_multiyear,30,5
catboost,price_above_ma7,6.793376804003789,B_coinbase_multiyear,30,5
catboost,price_above_ma30,3.9469174061657455,B_coinbase_multiyear,30,5
catboost,ma7_above_ma30,3.2164495326206466,B_coinbase_multiyear,30,5
catboost,universe_vol_chg_7d,3.2350923112615884,B_coinbase_multiyear,30,5
catboost,btc_ret_90d,6.479479919611635,B_coinbase_multiyear,30,5
catboost,coin_age_days,0.3329626744896977,B_coinbase_multiyear,30,5
catboost,narr_ai,6.445192301519275,B_coinbase_multiyear,30,5
catboost,narr_rwa,0.0,B_coinbase_multiyear,30,5
catboost,narr_defi,0.23629568549184257,B_coinbase_multiyear,30,5
catboost,narr_gaming,0.0,B_coinbase_multiyear,30,5
catboost,narr_memecoin,0.0,B_coinbase_multiyear,30,5
catboost,narr_l1,2.267359308758057,B_coinbase_multiyear,30,5
catboost,narr_l2,0.013903835751010113,B_coinbase_multiyear,30,5
catboost,narr_infra,0.11502136955049604,B_coinbase_multiyear,30,5
catboost,narr_depin,7.514120069694819,B_coinbase_multiyear,30,5
