n_test,n_pos_test,roc_auc,pr_auc,precision_at_0.5,recall_at_0.5,f1_at_0.5,precision_top10pct,base_rate,model,fold,dataset,horizon,threshold
1350,4,0.30107726597325407,0.0026099563441721726,0.0,0.0,0.0,0.0,0.002962962962962963,logreg,test_year=2023,B_coinbase_multiyear,30,5
1350,4,0.5780089153046062,0.004770448849396218,0.0,0.0,0.0,0.0,0.002962962962962963,random_forest,test_year=2023,B_coinbase_multiyear,30,5
1350,4,0.7887258543833581,0.011462521982409235,0.0,0.0,0.0,0.007407407407407408,0.002962962962962963,xgboost,test_year=2023,B_coinbase_multiyear,30,5
1350,4,0.5971396731054978,0.02146898675627351,0.0,0.0,0.0,0.007407407407407408,0.002962962962962963,lightgbm,test_year=2023,B_coinbase_multiyear,30,5
1350,4,0.4591381872213967,0.0035397552107522554,0.0,0.0,0.0,0.0,0.002962962962962963,catboost,test_year=2023,B_coinbase_multiyear,30,5
1727,2,0.9344927536231884,0.012762995049504951,0.008264462809917356,0.5,0.016260162601626018,0.011627906976744186,0.0011580775911986102,logreg,test_year=2024,B_coinbase_multiyear,30,5
1727,2,0.9628985507246377,0.029433962264150945,0.0,0.0,0.0,0.011627906976744186,0.0011580775911986102,random_forest,test_year=2024,B_coinbase_multiyear,30,5
1727,2,0.9866666666666668,0.059482758620689656,0.0,0.0,0.0,0.011627906976744186,0.0011580775911986102,xgboost,test_year=2024,B_coinbase_multiyear,30,5
1727,2,0.9797101449275362,0.04386792452830189,0.0,0.0,0.0,0.011627906976744186,0.0011580775911986102,lightgbm,test_year=2024,B_coinbase_multiyear,30,5
1727,2,0.9936231884057971,0.11688311688311688,0.0,0.0,0.0,0.011627906976744186,0.0011580775911986102,catboost,test_year=2024,B_coinbase_multiyear,30,5
2513,2,0.06113102349661492,0.0006247995904562743,0.0,0.0,0.0,0.0,0.0007958615200955034,logreg,test_year=2025,B_coinbase_multiyear,30,5
2513,2,0.3304460374352848,0.000865764447695684,0.0,0.0,0.0,0.0,0.0007958615200955034,random_forest,test_year=2025,B_coinbase_multiyear,30,5
2513,2,0.32636399840700914,0.000930821484181168,0.0,0.0,0.0,0.0,0.0007958615200955034,xgboost,test_year=2025,B_coinbase_multiyear,30,5
2513,2,0.14476304261250494,0.0006809794628682781,0.0,0.0,0.0,0.0,0.0007958615200955034,lightgbm,test_year=2025,B_coinbase_multiyear,30,5
2513,2,0.12763839107925135,0.0006717191996252426,0.0,0.0,0.0,0.0,0.0007958615200955034,catboost,test_year=2025,B_coinbase_multiyear,30,5
