date,n1,n2,n3,n4,n5,e1,e2,cal_day_of_week,cal_day_of_month,cal_day_of_year,cal_iso_week,cal_month,cal_quarter,cal_year,cal_season,cal_day_even,cal_month_even,cal_month_period,cal_year_period,cal_days_since_jan1,cal_days_until_dec31,astro_moon_age_days,astro_moon_illumination_pct,astro_moon_phase,astro_earth_moon_distance_km,astro_earth_sun_distance_km
2020-02-04,21,23,33,35,47,6,7,1,4,35,6,2,1,2020,Hiver,True,True,Début,Début,34,331,10.929166197704035,76.4507064819336,Premier Quartier,385163.67125048453,147463491.3659247
2020-02-07,9,15,17,25,40,3,9,4,7,38,6,2,1,2020,Hiver,False,True,Début,Début,37,328,13.929166197922314,96.93157196044922,Lune Gibbeuse Croissante,367980.92751999944,147533576.8475506
2020-02-11,24,26,32,43,46,6,10,1,11,42,7,2,1,2020,Hiver,False,True,Milieu,Début,41,324,17.92916619766038,90.74822998046875,Pleine Lune,361246.0114461351,147638606.9859821
2020-02-14,5,20,35,41,49,6,10,4,14,45,7,2,1,2020,Hiver,True,True,Milieu,Début,44,321,20.929166198104213,62.26413345336914,Lune Gibbeuse Décroissante,371111.7439567773,147725589.66705853
2020-02-18,11,32,34,38,47,2,10,1,18,49,8,2,1,2020,Hiver,True,True,Milieu,Début,48,317,24.929166197987797,21.1254825592041,Dernier Quartier,389036.1783310195,147849978.0218526
2020-02-21,7,23,30,32,45,5,9,4,21,52,8,2,1,2020,Hiver,False,True,Fin,Début,51,314,27.92916619789321,3.148860216140747,Dernier Croissant,399169.6564967082,147947723.19355533
2020-02-25,1,4,18,27,42,4,6,1,25,56,9,2,1,2020,Hiver,False,True,Fin,Début,55,310,2.186103136242309,4.491246700286865,Nouvelle Lune,406107.7067790064,148082446.03603446
2020-02-28,8,11,20,22,23,3,4,4,28,59,9,2,1,2020,Hiver,True,True,Fin,Début,58,307,5.1861031361841015,22.578840255737305,Premier Croissant,403701.86212109396,148186522.08457616
2020-03-03,4,14,27,44,45,1,10,1,3,63,10,3,1,2020,Printemps,False,False,Début,Début,62,303,9.186103136482416,60.2968864440918,Premier Quartier,386337.6838755656,148329760.4022401
2020-03-06,15,38,43,45,46,1,11,4,6,66,10,3,1,2020,Printemps,True,False,Début,Début,65,300,12.186103136089514,88.05631256103516,Lune Gibbeuse Croissante,367800.1896243267,148441451.33644447
2020-03-10,11,23,30,37,43,5,12,1,10,70,11,3,1,2020,Printemps,True,False,Début,Début,69,296,16.186103136453312,97.97563171386719,Pleine Lune,357433.13498371386,148597547.5758011
2020-03-13,3,11,21,27,36,9,10,4,13,73,11,3,1,2020,Printemps,False,False,Milieu,Début,72,293,19.186103136344173,77.01842498779297,Lune Gibbeuse Décroissante,367976.6433108709,148719974.2504479
2020-03-17,5,7,8,16,20,2,12,1,17,77,12,3,1,2020,Printemps,False,False,Milieu,Début,76,289,23.186103136373276,35.437660217285156,Dernier Quartier,390338.43858220713,148888170.48962215
2020-03-20,3,9,20,34,40,6,12,4,20,80,12,3,1,2020,Printemps,True,False,Milieu,Début,79,286,26.18610313602403,11.256478309631348,Dernier Croissant,401786.5071619411,149015991.784674
2020-03-24,7,12,26,30,33,10,11,1,24,84,13,3,1,2020,Printemps,True,False,Fin,Début,83,282,0.43874660608707927,0.3612242043018341,Nouvelle Lune,406679.4919583018,149186559.8734809
